id retweet_count favorite_count
892420643555336193 8213 37692
892177421306343426 6075 32377
891815181378084864 4017 24383
891689557279858688 8370 41011
891327558926688256 9075 39211
891087950875897856 3007 19711
890971913173991426 1989 11528
890729181411237888 18247 63578
890609185150312448 4133 27097
890240255349198849 7134 31076
890006608113172480 7094 29885
889880896479866881 4817 27089
889665388333682689 9714 46829
889638837579907072 4384 26406
889531135344209921 2179 14724
889278841981685760 5201 24582
888917238123831296 4357 28360
888804989199671297 4140 24883
888554962724278272 3424 19311
888078434458587136 3374 21186
887705289381826560 5210 29410
887517139158093824 11327 45074
887473957103951883 17576 67146
887343217045368832 10096 32789
887101392804085760 5769 29779
886983233522544640 7521 34201
886736880519319552 3165 11731
886680336477933568 4321 21856
886366144734445568 3097 20636
886267009285017600 4 116
886258384151887873 6099 27269
886054160059072513 105 0
885984800019947520 6559 31763
885528943205470208 6220 35039
885518971528720385 3631 19909
885311592912609280 17964 0
885167619883638784 4247 21342
884925521741709313 17676 75274
884876753390489601 5442 27174
884562892145688576 4542 23641
884441805382717440 5487 26302
884247878851493888 19874 71028
884162670584377345 2887 19833
883838122936631299 3338 21327
883482846933004288 9624 44720
883360690899218434 3594 22098
883117836046086144 6457 36182
882992080364220416 3804 23317
882762694511734784 4749 27564
882627270321602560 5908 27207
882268110199369728 11239 43759
882045870035918850 4802 28571
881906580714921986 3294 23686
881666595344535552 10357 49286
881633300179243008 7 124
881536004380872706 15482 48151
881268444196462592 5030 22519
880935762899988482 2702 16615
880872448815771648 3713 20717
880465832366813184 6092 27791
880221127280381952 4092 26335
880095782870896641 4211 26922
879862464715927552 3393 21774
879674319642796034 10 302
879492040517615616 3085 22838
879415818425184262 42973 103122
879376492567855104 3020 16377
879130579576475649 6612 0
879050749262655488 4567 21969
879008229531029506 2614 18514
878776093423087618 4006 18929
878604707211726852 6992 29457
878404777348136964 1250 0
878316110768087041 6460 0
878281511006478336 1250 7547
878057613040115712 6612 40993
877736472329191424 18548 77653
877611172832227328 78 0
877556246731214848 3695 22172
877316821321428993 5050 26731
877201837425926144 5432 26462
876838120628539392 3248 20181
876537666061221889 4514 22971
876484053909872640 2326 18306
876120275196170240 4559 27269
875747767867523072 4173 24584
875144289856114688 4812 21413
875097192612077568 5898 26751
875021211251597312 4604 24886
874680097055178752 4529 27177
874434818259525634 14338 0
874296783580663808 4010 25457
874057562936811520 3857 22188
874012996292530176 10158 33746
873580283840344065 3845 23673
873337748698140672 1549 0
873213775632977920 1549 7074
872967104147763200 5289 26727
